,stimAmp,electrode,animalID,maxFiring
0,10,0,0,29.265313160586274
1,15,0,0,86.09697062641808
2,20,0,0,73.48874298208548
3,25,0,0,99.47492166580032
4,30,0,0,96.38791161061286
5,10,1,0,30.720209126103146
6,15,1,0,68.2198842200537
7,20,1,0,101.55336451994573
8,25,1,0,73.32489598004659
9,30,1,0,131.0141140262848
10,10,2,0,30.831495780702127
11,15,2,0,60.711518639909336
12,20,2,0,75.00259734827306
13,25,2,0,143.10158328498073
14,30,2,0,149.21919781756475
15,10,3,0,63.40487129058648
16,15,3,0,81.40121775056184
17,20,3,0,80.45200102379101
18,25,3,0,118.08169581540787
19,30,3,0,146.14281903691108
20,10,4,0,12.205876591652455
21,15,4,0,34.714649562006244
22,20,4,0,71.97572931599619
23,25,4,0,87.47386634927352
24,30,4,0,124.22183199104633
25,10,5,0,40.44069888077991
26,15,5,0,97.5474196273459
27,20,5,0,104.83538696235941
28,25,5,0,110.12863637886683
29,30,5,0,117.2149413670551
30,10,6,0,66.54559057949831
31,15,6,0,110.07174437362247
32,20,6,0,80.68939062639147
33,25,6,0,85.61134316833099
34,30,6,0,115.00212154181129
35,10,7,0,40.932378608713684
36,15,7,0,88.41638494617047
37,20,7,0,86.85957175717739
38,25,7,0,131.18402963093868
39,30,7,0,95.16288395691022
40,10,8,0,41.767260377996216
41,15,8,0,92.89087191000961
42,20,8,0,83.07172405072824
43,25,8,0,156.72713644699706
44,30,8,0,142.08668219399155
45,10,9,0,37.22893687674267
46,15,9,0,100.62672146077318
47,20,9,0,74.31765063076794
48,25,9,0,121.62593231964505
49,30,9,0,135.39467319019266
50,10,10,0,62.865618191606885
51,15,10,0,66.97741485836337
52,20,10,0,46.55608311663373
53,25,10,0,50.189213382356776
54,30,10,0,122.49569824145951
55,10,11,0,57.926078781421
56,15,11,0,122.09064252835358
57,20,11,0,70.2395760838365
58,25,11,0,97.06340118419791
59,30,11,0,114.48179503150732
60,10,12,0,49.83935768250174
61,15,12,0,96.8718476862698
62,20,12,0,101.92665087912255
63,25,12,0,111.66724119887564
64,30,12,0,109.92837658364598
65,10,13,0,57.04676944091616
66,15,13,0,53.47528052077994
67,20,13,0,117.96853888482866
68,25,13,0,73.47591292000754
69,30,13,0,101.2054324423918
70,10,14,0,64.26089591495911
71,15,14,0,98.32009926856935
72,20,14,0,114.13474485205131
73,25,14,0,126.93438019237928
74,30,14,0,91.57937663057601
75,10,15,0,35.37208604740043
76,15,15,0,100.51385362971729
77,20,15,0,39.12560287212684
78,25,15,0,107.84350023539315
79,30,15,0,110.38610133989457
80,10,0,0,59.30010472745879
81,15,0,0,77.03520011485882
82,20,0,0,65.87009818738245
83,25,0,0,76.19981658069001
84,30,0,0,128.30132724412124
85,10,1,0,22.960671593848566
86,15,1,0,84.98445411565531
87,20,1,0,80.36812628594758
88,25,1,0,89.77083379173168
89,30,1,0,107.69498911276432
90,10,2,0,65.09812888265583
91,15,2,0,82.31273508450275
92,20,2,0,89.90857678303632
93,25,2,0,108.10407451016378
94,30,2,0,110.02407115437721
95,10,3,0,50.461197579532026
96,15,3,0,78.01169350041177
97,20,3,0,71.088516312608
98,25,3,0,120.76170555893898
99,30,3,0,129.26980779215697
100,10,4,0,66.42061865054534
101,15,4,0,85.86177396676402
102,20,4,0,90.05627256782212
103,25,4,0,77.00437860329885
104,30,4,0,131.50493419089088
105,10,5,0,68.56109772652681
106,15,5,0,103.27973217196853
107,20,5,0,77.64394087507199
108,25,5,0,117.63226167823878
109,30,5,0,105.98248106053659
110,10,6,0,26.455427538295147
111,15,6,0,54.17361845218845
112,20,6,0,95.33161229434339
113,25,6,0,93.80387262010305
114,30,6,0,138.94111358117198
115,10,7,0,57.33080481201124
116,15,7,0,91.13491431268108
117,20,7,0,110.98880849590998
118,25,7,0,91.08250666508562
119,30,7,0,124.39842159556326
120,10,8,0,18.78346810657792
121,15,8,0,71.49195045467692
122,20,8,0,139.24075187839094
123,25,8,0,114.28729525076436
124,30,8,0,129.32082328438923
125,10,9,0,40.89485185778621
126,15,9,0,125.88792340176786
127,20,9,0,28.713664328802018
128,25,9,0,111.40165672773028
129,30,9,0,103.83541084521043
130,10,10,0,41.52809705550552
131,15,10,0,86.10588000557583
132,20,10,0,83.2132813805089
133,25,10,0,92.05388919793052
134,30,10,0,101.03555866505718
135,10,11,0,80.46659028877966
136,15,11,0,63.516435350780114
137,20,11,0,116.65416202261414
138,25,11,0,89.19017878907935
139,30,11,0,128.26120363046053
140,10,12,0,46.5845099848762
141,15,12,0,92.27424651806217
142,20,12,0,68.18423038791803
143,25,12,0,65.72272335552726
144,30,12,0,121.99227589528606
145,10,13,0,60.728213994382315
146,15,13,0,70.10314277784339
147,20,13,0,65.69656555294677
148,25,13,0,85.40315175359657
149,30,13,0,135.91682216326728
150,10,14,0,85.45505450086748
151,15,14,0,92.30726292299296
152,20,14,0,108.20450109230075
153,25,14,0,97.9978662621549
154,30,14,0,135.70179202585888
155,10,15,0,57.50128094153433
156,15,15,0,112.76076661629925
157,20,15,0,81.74835302099652
158,25,15,0,87.60147036006676
159,30,15,0,117.2410570962443
160,10,0,0,52.62756339990594
161,15,0,0,87.59012890915326
162,20,0,0,39.39919729806985
163,25,0,0,96.53054328769086
164,30,0,0,131.32123143663452
165,10,1,0,52.562602950897464
166,15,1,0,77.26937007103216
167,20,1,0,71.85805601596341
168,25,1,0,106.62309976913782
169,30,1,0,141.3134720093281
170,10,2,0,57.26702719945398
171,15,2,0,77.58395101588704
172,20,2,0,84.71040472344578
173,25,2,0,95.53658445200455
174,30,2,0,137.34587223243935
175,10,3,0,93.81649537630173
176,15,3,0,69.1030817412238
177,20,3,0,52.08253142754071
178,25,3,0,60.91873835556782
179,30,3,0,145.00742787823347
180,10,4,0,41.18763927063426
181,15,4,0,88.53062011837295
182,20,4,0,92.53412486026266
183,25,4,0,121.09763888010401
184,30,4,0,111.93510851841447
185,10,5,0,45.37879259713844
186,15,5,0,87.50353553961212
187,20,5,0,111.15491776270028
188,25,5,0,133.22965674670942
189,30,5,0,111.3002943559033
190,10,6,0,25.776216019546467
191,15,6,0,53.32811660593518
192,20,6,0,73.82195860715572
193,25,6,0,98.7412639408049
194,30,6,0,116.47433814500519
195,10,7,0,41.806195238989936
196,15,7,0,90.44302692492599
197,20,7,0,100.69304380833739
198,25,7,0,84.65968640058237
199,30,7,0,122.02407175689248
200,10,8,0,75.0136369113771
201,15,8,0,54.46791536031489
202,20,8,0,96.74710156379584
203,25,8,0,95.73522336484379
204,30,8,0,129.93476811024172
205,10,9,0,19.090958063148943
206,15,9,0,110.36482360108256
207,20,9,0,97.25431109580194
208,25,9,0,92.78824398357149
209,30,9,0,95.77486777545982
210,10,10,0,17.629326962187825
211,15,10,0,25.929706198764407
212,20,10,0,103.0910207595973
213,25,10,0,107.81753382545439
214,30,10,0,99.46941797852719
215,10,11,0,54.765236225538615
216,15,11,0,60.54091792913218
217,20,11,0,69.85245914893777
218,25,11,0,120.31070558835462
219,30,11,0,144.25090652002046
220,10,12,0,24.69734438278365
221,15,12,0,74.20521769678061
222,20,12,0,113.65520830349436
223,25,12,0,93.14942091656813
224,30,12,0,132.80415048398993
225,10,13,0,12.978144626820857
226,15,13,0,55.131789807187715
227,20,13,0,74.94438921978218
228,25,13,0,118.9685887302954
229,30,13,0,121.60564845239622
230,10,14,0,28.872199098886036
231,15,14,0,79.94661379468221
232,20,14,0,51.589209470744656
233,25,14,0,115.64380932541296
